Sensor, Pricing
94, 3.64
67, 2.94
168, 2.08
198, 3.69
190, 3.77
108, 1.72
75, 2.11
132, 2.29
32, 3.24
185, 2.56
37, 2.63
85, 1.85
55, 2.91
66, 3.39
176, 1.86
80, 2.45
169, 3.79
152, 1.75
124, 1.93
115, 3.57
68, 3.41
103, 1.89
96, 3.66
183, 2.59
48, 2.6
194, 3.22
136, 3.16
193, 2.55
167, 2.92
184, 2.35
145, 3.71
150, 3.15
155, 2.47
191, 3.66
98, 2.2
180, 2.27
144, 2.97
189, 3.57
79, 2.26
56, 3.08
81, 3.3
60, 1.96
164, 2.15
30, 3.68
123, 2.14
147, 1.72
197, 2.05
70, 2.38
22, 2.35
156, 3.25
153, 3.16
174, 2.17
95, 3.38
41, 3.41
117, 3.07
89, 3.44
111, 3.07
91, 3.29
109, 2.79
116, 2.25
42, 2.35
93, 3.36
187, 3.16
29, 2.59
134, 2.64
57, 3.27
69, 3.17
25, 3.04
40, 2.89
39, 3.38
143, 3.28
139, 1.92
49, 3.28
192, 2.65
181, 1.96
24, 3.14
161, 3.54
166, 3.78
170, 2.14
76, 2.57
114, 2.86
126, 2.48
82, 1.89
44, 3.47
59, 2.98
100, 3.23
160, 3.56
199, 2.85
63, 2.29
159, 2.56
90, 3
47, 3.47
88, 2.47
125, 1.71
61, 2.42
188, 3.74
34, 2.6
84, 3.36
27, 2.73
165, 2.67
148, 2.34
43, 2.8
127, 3.29
64, 2.76
33, 3.76
196, 2.94
92, 2.69
45, 2.43
58, 3.15
175, 3.73
120, 3.7
86, 3.08
54, 2.84
99, 1.91
36, 3.18
26, 3.67
177, 3.16
162, 3.49
31, 3.4
52, 3.2
62, 3.5
173, 2.01
106, 2.45
78, 2.02
138, 2.08
113, 3.6
131, 3.25
179, 3.27
118, 1.92
163, 2.01
53, 2.24
146, 1.87
28, 2.74
38, 3.26
158, 1.93
72, 1.76
137, 2.98
112, 2.93
128, 3.51
65, 1.74
121, 2.24
119, 2.82
107, 3.5
46, 2.36
129, 2.65
140, 3.71
151, 2.33
142, 2.25
122, 2.33
87, 2.55
101, 2.28
186, 2.91
149, 3.75
73, 3.33
135, 2.96
182, 2.02
50, 2.05
74, 2.96
83, 2.37
171, 1.85
102, 3.49
141, 3.21
154, 2.21
77, 2.83
105, 3.18
172, 3.52
195, 2.04
71, 3.37
23, 3.78
130, 3.12
51, 2.38
